post,country,clean_post,sentiment,created_date,created_utc,vader_sentiment
iPhone 17 Pro Max Review: One Review After The Other | ben's gadget reviews,United States,iphone pro max review one review ben gadget reviews,neutral,,,neutral
iPhone 17 Pro Max AAA gaming test shows Resident Evil 4 running at 60 FPS without thermal throttling,United States,iphone pro max aaa gaming test shows resident evil running fps without thermal throttling,negative,,,negative
[GSMArena] Apple iPhone 17 Pro Max review,United States,gsmarena apple iphone pro max review,neutral,,,neutral
"iPhone 17 Pro Max charges faster than ever, here’s how much [36 W compared to 30 W for the iPhone 16 Pro]",Mexico,iphone pro max charges faster ever much compared iphone pro,neutral,,,negative
iPhone 17 Ultimate Battery Test - 17 | Air | Pro | Pro Max | The Tech Chap,United States,iphone ultimate battery test air pro pro max tech chap,neutral,,,neutral
iPhone 17 Pro Max vs Samsung Galaxy S25 Ultra Camera Test Comparison,United States,iphone pro max vs samsung galaxy ultra camera test comparison,neutral,,,neutral
iPhone 17 Pro Max Review - Even BETTER Than You Think!,United States,iphone pro max review even better think,positive,,,positive
"iPhone 17 Pro Max Demand Surges, iPhone Air Faces Uncertainty",United States,iphone pro max demand surges iphone air faces uncertainty,negative,,,negative
Should I upgrade from my iPhone 14 Plus to the iPhone 17 Pro Max or the Air?,United States,upgrade iphone plus iphone pro max air,neutral,,,neutral
New iPhone Air & iPhone 17 Pro Max Challenges - SVP John Ternus Explains,United States,new iphone air iphone pro max challenges svp john ternus explains,positive,,,positive
Leaked benchmark suggests Apple A19 Pro GPU rivals this M series chip in performance,United States,leaked benchmark suggests apple pro gpu rivals series chip performance,negative,,,negative
Awe Dropping | Event Megathread,United States,awe dropping event megathread,neutral,,,neutral
Awe Dropping | Pre-Event Megathread,United States,awe dropping pre event megathread,neutral,,,neutral
Two More iPhone 17 Air and iPhone 17 Pro Max Rumors Drop Before Apple Event,United States,two iphone air iphone pro max rumors drop apple event,negative,,,negative
"iPhone 17 battery sizes from a Chinese regulatory filing, eSIM only models have larger batteries.",United States,iphone battery sizes chinese regulatory filing esim models larger batteries,neutral,,,neutral
New Report Lists RAM Amounts in iPhone 17 and iPhone 17 Pro Models,United States,new report lists ram amounts iphone iphone pro models,positive,,,neutral
iPhone 17 Pro Max leaks in purported hands-on video from the production line,United States,iphone pro max leaks purported hands video production line,neutral,,,neutral
iPhone 17 Pro Max's Internal Design With Metal Battery Allegedly Leaks,United States,iphone pro max internal design metal battery allegedly leaks,neutral,,,neutral
'A19 Pro' Chip Coming to Studio Display 2,United States,pro chip coming studio display,neutral,,,neutral
Leaker Reveals Amount of RAM in iPhone 17 Through iPhone 17 Pro Max,United States,leaker reveals amount ram iphone iphone pro max,neutral,,,neutral
Here's How the iPhone 17 Pro Max Will Compare to the iPhone 17 Pro,United States,iphone pro max will compare iphone pro,neutral,,,neutral
"iPhone 17 Pro Max Battery Capacity Leaked (~5,000mAh)",United States,iphone pro max battery capacity leaked mah,negative,,,negative
iPhone 17 Base Model Rumored to Feature Larger Display,United States,iphone base model rumored feature larger display,negative,,,neutral
"Thicker, heavier iPhone 17 Pro Max revealed in new hands-on video",Mexico,thicker heavier iphone pro max revealed new hands video,positive,,,neutral
iPhone 17 Pro Max Rumors Allegedly Refer to 'iPhone 17 Ultra' Model,United States,iphone pro max rumors allegedly refer iphone ultra model,negative,,,neutral
iPhone 17 Pro Max Said to Be Thicker to Accommodate Larger Battery,United States,iphone pro max said thicker accommodate larger battery,neutral,,,neutral
"iPhone 17 Pro Max Will Feature Smaller Dynamic Island, Claims Leaker",United States,iphone pro max will feature smaller dynamic island claims leaker,positive,,,positive
Kuo: Next Year's Upgrade to 12GB RAM Will Be Limited to iPhone 17 Pro Max,Mexico,kuo next year upgrade gb ram will limited iphone pro max,negative,,,negative
iPhone 17 Pro Max Will Be First to Feature Three 48MP Camera Lenses,United States,iphone pro max will first feature three mp camera lenses,positive,,,neutral
Report: iPhone 17 Plus to feature a smaller screen than current 'Plus' phones,United States,report iphone plus feature smaller screen current plus phones,neutral,,,neutral
iPhone 17 Pro Max Rumored to Feature 48MP Telephoto Lens,Mexico,iphone pro max rumored feature mp telephoto lens,neutral,,,neutral
"The Official Reason for Those iPhone 17 Scratches, According to Apple",United States,official reason iphone scratches according apple,neutral,,,neutral
"Apple iPhone 17 Pro review: Come for the camera, stay for the battery | Ars Technica",United States,apple iphone pro review come camera stay battery ars technica,neutral,,,neutral
Best color grading for iPhone 17,United States,best color grading iphone,positive,,,positive
"I never imagined to say this but, is Apple becoming one of the most budget friendly brands?",United States,never imagined say apple becoming one budget friendly brands,positive,,,positive
iPhone 17 Review: No Asterisks!,United States,iphone review asterisks,neutral,,,neutral
iPhone 17 Pro 1x 2x 4x 8x video test,United States,iphone pro video test,neutral,,,neutral
"I took 1,000 photos with the iPhone 17 Pro...",United States,took photos iphone pro,neutral,,,neutral
Apple Releases iOS 26.0.1!,United States,apple releases ios,neutral,,,neutral
Here’s how Apple Stores are combating iPhone 17 scratches,United States,apple stores combating iphone scratches,neutral,,,neutral
I tested the Apple iPhone 17 for a week. | CNN Underscored,United States,tested apple iphone week cnn underscored,neutral,,,neutral
iPhone 17 Pro Review: Paradox in a Box!,United States,iphone pro review paradox box,negative,,,negative
"Apple Aware of Issue With Apple Intelligence on Some iPhone 17 Models, Fix Coming",United States,apple aware issue apple intelligence iphone models fix coming,positive,,,positive
iPhone 17 Pro Camera Review: Rule of Three,United States,iphone pro camera review rule three,neutral,,,neutral
Apple iPhone 17 review: Sometimes boring is best | Ars Technica,United States,apple iphone review sometimes boring best ars technica,positive,,,positive
iPhone 17 Durability Test -- What Scratches are Permanent?,United States,iphone durability test scratches permanent,neutral,,,neutral
What can the iPhone 17 Pro tell us about M5?,United States,can iphone pro tell us,neutral,,,neutral
iPhone 17 Pro Review — HTX Studio,United States,iphone pro review htx studio,neutral,,,neutral
Apple Blames In-Store MagSafe Chargers for iPhone 17 Pro Display Model Scratches,United States,apple blames store magsafe chargers iphone pro display model scratches,negative,,,negative
"New iPhone Air, iPhone 17, and iPhone 17 Pro have an anti-spyware feature",United States,new iphone air iphone iphone pro anti spyware feature,negative,,,negative
"iPhone 17 Pro Teardown: Fascinating Battery, New Vapor Chamber & Scratchgate! | iFixit",United States,iphone pro teardown fascinating battery new vapor chamber scratchgate ifixit,positive,,,positive
iPhone 17 Pro Teardown Reveals Apple's New Approach to Thermal Management and Repairs,Mexico,iphone pro teardown reveals apple new approach thermal management repairs,positive,,,neutral
"Apple's iPhone 17 ""cycle is better than we expected"", says Morgan Stanley's Erik Woodring",United States,apple iphone cycle better expected says morgan stanley erik woodring,positive,,,positive
iPhone 17 Pro Review - Something’s Missing,United States,iphone pro review something missing,negative,,,negative
"Apple iPhone 17 demand is ""quite strong,"" says BofA's Wamsi Mohan",United States,apple iphone demand quite strong says bofa wamsi mohan,positive,,,positive
"Apple iPhone 17 Unboxing, Hands-On & First Impressions! (Sage Green) | TechDaily",United States,apple iphone unboxing hands first impressions sage green techdaily,positive,,,positive
WiFi Disconnects When Unlocked on iPhone 17 - Workaround,United States,wifi disconnects unlocked iphone workaround,neutral,,,neutral
Wired CarPlay not currently supported iPhone 17 Pro,United States,wired carplay currently supported iphone pro,positive,,,positive
iPhone 17 Pro Scratch Gate is Real -- But its not your fault,United States,iphone pro scratch gate real fault,negative,,,negative
Apple’s iPhone 17 Shows Device’s Staying Power — At Least for Now,Mexico,apple iphone shows device staying power least,negative,,,neutral
iPhone 17: Using the New Dual Capture Video Feature,United States,iphone using new dual capture video feature,positive,,,neutral
Apple spotted filming in 3D at iPhone 17 launch,United States,apple spotted filming iphone launch,neutral,,,neutral
iPhone Air Beats iPhone 17 PM and S25 Ultra in Latest Battery Test,United States,iphone air beats iphone pm ultra latest battery test,positive,,,neutral
iPhone 17 Ultimate Battery Test!,United States,iphone ultimate battery test,neutral,,,neutral
I tested the Apple iPhone 17 for a week. Here’s why it’s the one you should buy,United States,tested apple iphone week one buy,neutral,,,neutral
"Early indications show the iPhone 17 will be a great cycle, says Deepwater's Gene Munster",United States,early indications show iphone will great cycle says deepwater gene munster,positive,,,positive
Two iPhone 17 Pro and iPhone Air Colors Appear to Scratch More Easily,United States,two iphone pro iphone air colors appear scratch easily,positive,,,positive
Apple has told at least two suppliers to boost production of the entry-level model iPhone 17 by at least 30% after strong pre-orders,United States,apple told least two suppliers boost production entry level model iphone least strong pre orders,neutral,,,neutral
Final Cut Pro for Mac and iPad Updated With New iPhone 17 Pro and iPadOS 26 Features,United States,final cut pro mac ipad updated new iphone pro ipados features,negative,,,negative
iPhone 17 Pro Teardown: Big Upgrades Make Repair Harder?,United States,iphone pro teardown big upgrades make repair harder,neutral,,,neutral
iPhone 17 Pro Drop Test,United States,iphone pro drop test,negative,,,negative
"Apple CEO Tim Cook on iPhone 17 launch: ""It's the most important day of the year for us.""",United States,apple ceo tim cook iphone launch important day year us,positive,,,positive
iPhone 17 goes on sale: Apple CEO Tim Cook opens flagship Fifth Avenue store in New York City,United States,iphone goes sale apple ceo tim cook opens flagship fifth avenue store new york city,positive,,,positive
iPhone 17 Pro Camera Review: Dolomites — Austin Mann,United States,iphone pro camera review dolomites austin mann,neutral,,,neutral
"iOS 26.0.1 Coming Soon, Likely With iPhone Air and iPhone 17 Pro Fix",United States,ios coming soon likely iphone air iphone pro fix,neutral,,,neutral
"Exit Interview: iPhone 16, 16 Plus, 16 Pro, 16 Pro Max",United States,exit interview iphone plus pro pro max,neutral,,,neutral
Another Chinese reviewer with a clear focus on iPhone 17 photography and video capabilities (with English subtitles),United States,another chinese reviewer clear focus iphone photography video capabilities english subtitles,positive,,,positive
iPhone 17 Pro vs. iPhone Air Review | The Verge,United States,iphone pro vs iphone air review verge,neutral,,,neutral
iPhone 17: A Photographer's Review,United States,iphone photographer review,neutral,,,neutral
Apple to Fix Camera Glitch Affecting iPhone Air and iPhone 17 Pro,United States,apple fix camera glitch affecting iphone air iphone pro,neutral,,,neutral
iPhone 17 battery life test shows strong results across the lineup.,United States,iphone battery life test shows strong results across lineup,positive,,,positive
Geekerwan’s Analysis of the iPhone 17 Series - A Huge Leap in Performance!,United States,geekerwan analysis iphone series huge leap performance,positive,,,positive
Apple iPhone 17 review,United States,apple iphone review,neutral,,,neutral
What in the world is the iPhone 17 Pro PRO,United States,world iphone pro pro,neutral,,,neutral
iPhone 17 Review | Skip the Pro? This Year’s Standard Model Is Seriously Impressive,Brazil,iphone review skip pro year standard model seriously impressive,positive,,,positive
iPhone 17 Pro/Pro Max Review - Apple Made It Even MOAR Pro! | Brian Tong,United States,iphone pro pro max review apple made even moar pro brian tong,neutral,,,neutral
Chinese review of iPhone 17,United States,chinese review iphone,neutral,,,neutral
Is the current criticism on iPhones (and Apple in general) warranted? Especially with the new Liquid Glass design choices?,United States,current criticism iphones apple general warranted especially new liquid glass design choices,negative,,,negative
iPhone 17/Air/Pro Unboxing - What Apple didn’t tell you,United States,iphone air pro unboxing apple didn tell,neutral,,,neutral
iPhone 17 Reviews: Choosing the Base Model 'No Longer Means Missing Out',United States,iphone reviews choosing base model longer means missing,negative,,,negative
[PetaPixel] iPhone 17 Pro & Pro Max Review For Photographers!,United States,petapixel iphone pro pro max review photographers,neutral,,,neutral
iPhone 17/Pro/Air Unboxing: 1 Hot Take!,United States,iphone pro air unboxing hot take,positive,,,neutral
iPhone 17 Pro vs. iPhone Air Review,United States,iphone pro vs iphone air review,neutral,,,neutral
Improved precision finding with AirPods Pro 3 ONLY works with iPhone 17 series,United States,improved precision finding airpods pro works iphone series,positive,,,positive
iPhone 17 Series Ships With iOS 26's Adaptive Power Mode Enabled by Default,United States,iphone series ships ios adaptive power mode enabled default,neutral,,,neutral
"How come Apple is saying the iPhone 17 Pro features their first aluminium unibody, when the iPhone 6 also did?",United States,come apple saying iphone pro features first aluminium unibody iphone also,positive,,,neutral
Why must it be iPhone 17?,United States,must iphone,neutral,,,neutral
"Kuo: High Demand for iPhone 17 Models, But Questions Remain About iPhone Air",United States,kuo high demand iphone models questions remain iphone air,neutral,,,negative
iPhone Air and iPhone 17 Pro Boxes Revealed,United States,iphone air iphone pro boxes revealed,neutral,,,neutral
PSA: You'll need a new charger to take advantage of iPhone 17 Pro's fast charging - 9to5Mac,United States,psa ll need new charger take advantage iphone pro fast charging mac,positive,,,positive
The new iPhone 17 Center Stage camera with square pixels is clearly made for the iPhone Fold,United States,new iphone center stage camera square pixels clearly made iphone fold,positive,,,positive
"iPhone 17 sales off to a strong start in China, while iPhone Air launch is blocked",United States,iphone sales strong start china iphone air launch blocked,positive,,,positive
"Street expectations are too conservative going into this iPhone 17 launch, says Wedbush's Dan Ives",United States,street expectations conservative going iphone launch says wedbush dan ives,neutral,,,neutral
"Apple's New N1 Chip in iPhone 17, iPhone 17 Pro, and iPhone Air Has a Wi-Fi 7 Limitation (“the N1 chip in all of the new iPhone models supports up to 160 MHz channel bandwidth for Wi-Fi 7, short of the standard's 320 MHz maximum.”)",United States,apple new chip iphone iphone pro iphone air wi fi limitation chip new iphone models supports mhz channel bandwidth wi fi short standard mhz maximum,positive,,,positive
Chinese pre-orders for Apple’s iPhone 17 break records amid strong demand,United States,chinese pre orders apple iphone break records amid strong demand,positive,,,positive
"Except the Air, 17 series is Apple's best launch of the decade. Surprised by the uncalled criticism.",United States,except air series apple best launch decade surprised uncalled criticism,positive,,,positive
All-New Apple Store in Downtown Detroit Opens on iPhone 17 and iPhone Air Launch Day,United States,new apple store downtown detroit opens iphone iphone air launch day,positive,,,neutral
"Apple Store is down ahead of iPhone 17, iPhone 17 Pro and iPhone Air preorders",United States,apple store ahead iphone iphone pro iphone air preorders,neutral,,,neutral
"Apple's Polishing Cloth now supports iPhone 17, iPhone Air, and Apple Watch Ultra 3!",United States,apple polishing cloth supports iphone iphone air apple watch ultra,positive,,,positive
"Apple's Joz & John on iPhone 17 Pro: ""You want a fun color? How about Cosmic Orange, baby!""",United States,apple joz john iphone pro want fun color cosmic orange baby,positive,,,positive
"Apple's A19 Pro beats Ryzen 9 9950X in single-thread Geekbench tests — iPhone 17 Pro chip packs 11-12% CPU performance bump, GPU performance up 37% over predecessor",United States,apple pro beats ryzen single thread geekbench tests iphone pro chip packs cpu performance bump gpu performance predecessor,neutral,,,neutral
"Buyer's Guide: iPhone 17, Air, Pro, or Pro Max? 40 Differences Compared",United States,buyer guide iphone air pro pro max differences compared,neutral,,,neutral
No 256GB variant in base iPhone 16 anymore?,United States,gb variant base iphone anymore,negative,,,neutral
"Lossless, realtime audio support in iPhone 17 and AirPods Pro 3? Sounds great, but if true why didn't Apple announce it?",United States,lossless realtime audio support iphone airpods pro sounds great true didn apple announce,positive,,,positive
iPhone 17 Pro and iPhone Air Benchmarks Reveal Speed of A19 Pro Chip,United States,iphone pro iphone air benchmarks reveal speed pro chip,neutral,,,neutral
iPhone 17 / Pro / Air – A BIG Update!! | Dave2D,United States,iphone pro air big update dave,neutral,,,neutral
iPhone 17 Base – The best of the iPhone releases this year… almost perfect!,United States,iphone base best iphone releases year almost perfect,positive,,,positive
All iPhone 17 models get dual capture video recording in the Apple Camera app,United States,iphone models get dual capture video recording apple camera app,neutral,,,neutral
iPhone 17 Introduces 'Groundbreaking' New Memory Security Feature,United States,iphone introduces groundbreaking new memory security feature,positive,,,positive
"Sam Altman on iPhone 17 series: ‘First upgrade I’ve wanted in a while’, backs replacing Siri with ChatGPT Voice",United States,sam altman iphone series first upgrade ve wanted backs replacing siri chatgpt voice,positive,,,negative
iPhone 17 - First Look & Hands-On! | Brian Tong,United States,iphone first look hands brian tong,positive,,,neutral
iPhone 17 Pro hands-on | The Verge,United States,iphone pro hands verge,neutral,,,neutral
Why does Apple’s iPhone 17 Pro ‘Clear’ Case have a white block that makes the design look worse?,United States,apple iphone pro clear case white block makes design look worse,negative,,,negative
iPhone 17 Pro Has Toggle to Disable Screen Flickering (PWM),United States,iphone pro toggle disable screen flickering pwm,neutral,,,neutral
Apple Updates Trade-In Values Following iPhone 17 Event,United States,apple updates trade values following iphone event,positive,,,positive
The Apple iPhone 17 (256GB for $799) is cheaper than the Google Pixel 10 (256GB for $899),United States,apple iphone gb cheaper google pixel gb,neutral,,,neutral
iPhone 17 Air - First Look & Hands-On! | Brian Tong,United States,iphone air first look hands brian tong,positive,,,neutral
